id,site_id,project_company_id,size_kwdc,ato_date,in_service_date,host_type,revenue_type,interconnection_type,registry_facility_name,cref_short_name,subscriber_orginization,system_yield_as_built,system_yield_finance,annual_degradation_engr,annual_degradation_finance,created_on,updated_on
CPoSogbT,1,1,273,2018-10-07,2018-10-30,C&I,,NEM,NON232303,,,1263.7,1263.7,0.005,,2021-06-03 03:59:23.473649,
ndFokMkm,1,2,19.43,2019-12-30,,C&I,,NEM,NON294344,,,1223.4,1250,,,2021-06-03 03:59:23.473649,
q5W3DpBs,1,3,57.6,2017-08-31,,C&I,,NEM,,,,1267,1250,0.005,,2021-06-03 03:59:23.473649,
UpYGrkaP,1,4,53.13,2019-09-06,,C&I,,NEM,NON280635,,,0,,,,2021-06-03 03:59:23.473649,
t6Pwm8dh,1,5,69.9,2020-12-29,,C&I,,,,,,1239.6,1239.6,0.005,,2021-06-03 03:59:23.473649,
R5zYRTnN,1,6,3.24,2018-05-22,,Residential,Zero Cent PPA,NEM,NON228082,,,1250,1250,0.005,,2021-06-03 03:59:23.473649,
VkGnY688,1,7,627.84,2020-06-30,,C&I,,NEM,NON303003,,,1254.4,1254.4,0.005,,2021-06-03 03:59:23.473649,
MtX3HfSc,1,8,7.2,2019-08-24,,Residential,,,NON270441,,,0,1250,0.005,0.005,2021-06-03 03:59:23.473649,
3KKhJjqQ,1,9,,,,C&I,,,,,,,,,,2021-06-03 03:59:23.473649,
ZPXBVxJx,1,9,,,,C&I,,,,,,,,,,2021-06-03 03:59:23.473649,
aqR9BWfD,1,9,,,,C&I,,,,,,,,,,2021-06-03 03:59:23.473649,
VRDXNKAg,1,9,,,,C&I,,,,,,,,,,2021-06-03 03:59:23.473649,
QEZahoFa,1,9,,,,C&I,,,,,,,,,,2021-06-03 03:59:23.473649,
SvR4VVk5,1,9,,,,C&I,,,,,,,,,,2021-06-03 03:59:23.473649,
daSvL2cF,1,9,,,,C&I,,,,,,,,,,2021-06-03 03:59:23.473649,
PtzuUBA4,1,9,,,,C&I,,,,,,,,,,2021-06-03 03:59:23.473649,
TNWT9Rzn,1,9,,,,C&I,,,,,,,,,,2021-06-03 03:59:23.473649,
8iqpEBUU,1,10,115.9,2019-09-19,,C&I,,,,,,1266.9,1270.5,0.005,0.005,2021-06-03 03:59:23.473649,
fiGK3YxL,1,11,5.89,2016-09-14,,Residential,,,NON208813,,,0,1250,0.005,0.005,2021-06-03 03:59:23.473649,
riycX5Ue,1,11,5.89,2016-09-14,,Residential,Zero Cent PPA,NEM,,,,1250,1250,0.005,,2021-06-03 03:59:23.473649,
CuUiRxZb,1,12,6.03,2019-02-19,,Residential,,,NON258313,,,0,1250,0.005,0.005,2021-06-03 03:59:23.473649,
Jym9orkR,1,13,6.84,2017-10-26,2017-10-26,Residential,Zero Cent PPA,NEM,NON216861,,,1250,1250,0.005,,2021-06-03 03:59:23.473649,
haS2bEgY,1,14,4.2,2019-10-29,2019-10-29,Residential,Zero Cent PPA,NEM,NON280881,,,1250,1250,0.005,0.005,2021-06-03 03:59:23.473649,
GF5BqfRj,1,14,4.48,2019-12-30,2019-12-30,Residential,Zero Cent PPA,NEM,NON297929,,,1250,1250,0.005,0.005,2021-06-03 03:59:23.473649,
